B-002-001-001;What is a good way to make contact on a repeater?;Say the call sign of the station you want to contact, then your call sign;Say the other operator's name, then your call sign three times;Say, "Breaker, breaker,";Say the call sign of the station you want to contact three times;Quelle est la bonne façon de faire un contact sur un répéteur?;Dire l'indicatif de la station que vous voulez rejoindre, puis donner votre indicatif;Dire le nom du radioamateur que vous appelez, puis dire votre indicatif à trois reprises;Dire "breaker, breaker";Dire à trois reprises l'indicatif de la station que vous voulez rejoindre
B-002-002-006;What is the Standard International Phonetic for the letter E?;Echo;Easy;Edward;England;Comment se prononce la lettre E en alphabet phonétique international?;Echo;Easy;Edward;England
B-002-002-007;What is the Standard International Phonetic for the letter G?;Golf;George;Germany;Gibraltar;Comment se prononce la lettre G en alphabet phonétique international?;Golf;George;Germany;Gibraltar
B-002-002-008;What is the Standard International Phonetic for the letter I?;India;Iran;Italy;Item;Comment se prononce la lettre I en alphabet phonétique international?;India;Iran;Italy;Item
B-002-002-009;What is the Standard International Phonetic for the letter L?;Lima;Love;London;Luxembourg;Comment se prononce la lettre L en alphabet phonétique international?;Lima;Love;London;Luxembourg
B-002-002-010;What is the Standard International Phonetic for the letter P?;Papa;Portugal;Paris;Peter;Comment se prononce la lettre P en alphabet phonétique international?;Papa;Portugal;Paris;Peter
B-002-002-011;What is the Standard International Phonetic for the letter R?;Romeo;Roger;Radio;Romania;Comment se prononce la lettre R en alphabet phonétique international?;Romeo;Roger;Radio;Romania
B-002-003-001;What is the correct way to call "CQ" when using voice ?;Say "CQ" three times, followed by "this is," followed by your call sign spoken three times;Say "CQ" once, followed by "this is," followed by your call sign spoken three times;Say "CQ" at least five times, followed by "this is," followed by your call sign spoken once;Say "CQ" at least ten times, followed by "this is," followed by your call sign spoken once;Comment doit-on lancer un "CQ" lorsqu'on utilise la téléphonie?;Dire "CQ" trois fois, le mot "ici", puis votre indicatif trois fois;Dire "CQ" une fois, le mot "ici", puis votre indicatif trois fois;Dire "CQ" au moins 5 fois, le mot "ici", puis votre indicatif une fois;Dire "CQ" au moins 10 fois, le mot "ici", puis votre indicatif une fois
B-002-003-002;How should you answer a voice CQ call?;Say the other station's call sign once, followed by "this is," then your call sign given phonetically;Say the other station's call sign at least five times phonetically, followed by "this is," then your call sign twice;Say the other station's call sign at least three times, followed by "this is," and your call sign at least five times phonetically;Say the other station's call sign at least ten times, followed by "this is," then your call sign at least twice;Comment doit-on répondre à un "CQ" en phonie?;Dire l'indicatif de la station qui appelle une fois, le mot "ici", puis votre indicatif en alphabet phonétique international;Dire l'indicatif de la station phonétiquement au moins 5 fois, le mot "ici", puis votre indicatif au moins 2 fois;Dire l'indicatif de la station au moins 3 fois, le mot "ici", puis votre indicatif donné phonétiquement au moins 5 fois;Dire l'indicatif de la station qui appelle au moins dix fois, le mot "ici", puis votre indicatif au moins 2 fois
B-002-003-003;What is simplex operation?;Transmitting and receiving on the same frequency;Transmitting and receiving over a wide area;Transmitting on one frequency and receiving on another;Transmitting one-way communications;Qu'est-ce qu'une communication en simplex?;C'est une communication où la fréquence d'émission est la même que la fréquence de réception;C'est une transmission et une réception couvrant une grande surface;C'est une communication où les fréquences d'émission et de réception sont distinctes;C'est une transmission à sens unique
B-002-003-004;When should you consider using simplex operation instead of a repeater?;When signals are reliable between communicating parties without using a repeater;When the most reliable communications are needed;When an emergency telephone call is needed;When you are traveling and need some local information;Quand devriez-vous considérer une communication simplex plutôt que par l'entremise d'un répéteur?;Quand une communication fiable est possible entre tous les participants sans utiliser le répéteur;Quand il est nécessaire d'avoir des communications fiables;Quand vous devez faire un appel téléphonique urgent;Lorsque vous voyagez et que vous avez besoin de renseignements locaux
B-002-003-005;Why should local amateur communications use VHF and UHF frequencies instead of HF frequencies?;To minimize interference on HF bands capable of long-distance communication;Because greater output power is permitted on VHF and UHF;Because HF transmissions are not propagated locally;Because signals are stronger on VHF and UHF frequencies;Pourquoi est-il préférable d'utiliser les fréquences UHF et VHF pour les communications locales au lieu des fréquences HF?;Pour diminuer le brouillage sur les bandes HF qui peuvent servir aux communications à longues distances;Parce que vous pouvez utiliser plus de puissance de sortie sur les bandes UHF et VHF;Parce que la propagation HF est impossible localement;Parce que les signaux sont plus forts sur UHF et VHF
B-002-003-006;Why should we be careful in choosing a simplex frequency when operating VHF or UHF FM?;You may inadvertently choose a channel that is the input to a local repeater;Interference may be caused to unlicensed devices operating in the same band;Implanted medical devices share the same spectrum;Some frequencies are designated for narrow band FM and others for wideband FM;Pourquoi devriez-vous apporter une attention particulière au choix d'une fréquence simplex sur VHF ou UHF FM?;Vous pourriez choisir par inadvertance la fréquence d'entrée d'un répéteur local;Du brouillage pourrait être causé à des dispositifs exemptés de licence opérant dans la même bande;Des dispositifs médicaux implantables partagent le même spectre radio;Certaines fréquences sont allouées à la modulation de fréquence à bande étroite et d'autres, à la modulation de fréquence à large bande
B-002-003-007;If you are talking to a station using a repeater, how would you find out if you could communicate using simplex instead?;See if you can clearly receive the station on the repeater's input frequency;See if a third station can clearly receive both of you;See if you can clearly receive a more distant repeater;See if you can clearly receive the station on a lower frequency band;Si vous êtes en contact avec une autre station sur un répéteur, comment pouvez-vous vérifier la possibilité d'une communication en simplex?;Vérifiez si vous recevez bien la station sur la fréquence d'entrée du répéteur;Vérifiez si une troisième station peut capter vos signaux;Vérifiez si vous pouvez capter les signaux d'un répéteur plus éloigné;Vérifiez si vous recevez bien la station sur une bande de fréquences plus basse
B-002-003-008;If you are operating simplex on a repeater frequency, why would it be good amateur practice to change to another frequency?;Changing the repeater's frequency is not practical;The repeater's output power may ruin your station's receiver;There are more repeater operators than simplex operators;Changing the repeater's frequency requires the authorization of Innovation, Science and Economic Development Canada;Si vous opérez en simplex sur la fréquence d'un répéteur, pourquoi devriez-vous poliment changer de fréquence?;Ce n'est pas du tout pratique de modifier la fréquence d'un répéteur;La puissance de sortie du répéteur peut endommager votre récepteur;Il y a beaucoup plus d'utilisateurs de répéteurs que d'opérateurs en simplex;Un changement de fréquence sur un répéteur nécessite l'autorisation d'Innovation, Sciences et Développement économique Canada
B-002-003-009;Which sideband is commonly used for 20-metre phone operation?;Upper;Lower;FM;Double;Quelle bande latérale utilise-t-on habituellement pour la phonie sur 20 mètres?;La bande latérale supérieure;La bande latérale inférieure;La bande FM;La double bande
B-002-003-010;Which sideband is commonly used on 3755 kHz for phone operation?;Lower;FM;Double;Upper;Quelle bande latérale est habituellement utilisée pour la phonie à la fréquence de 3755 kHz?;La bande latérale inférieure;La bande FM;La double bande;La bande latérale supérieure
B-002-003-011;What is the best method to tell if a band is "open" for communication with a particular distant location?;Listen for signals from that area from an amateur beacon station or a foreign broadcast or television station on a nearby frequency;Ask others on your local 2 metre FM repeater;Telephone an experienced local amateur;Look at the propagation forecasts in an amateur radio magazine;Quelle est la meilleure méthode à employer pour savoir si une bande est "ouverte" pour établir une communication à un endroit éloigné et précis?;Écouter les signaux provenant de cette région dans la gamme de fréquences choisie : par ex., balise du service radioamateur, radiodiffuseurs étrangers, etc.;Poser la question aux autres radioamateurs en utilisant le répéteur FM local de la bande 2 m;Téléphoner localement à un radioamateur expérimenté;Regarder les prévisions de propagation dans un magazine pour radioamateurs
B-002-004-001;What should you do before you transmit on any frequency?;Listen to make sure others are not using the frequency;Check your antenna for resonance at the selected frequency;Make sure the SWR on your antenna transmission line is high enough;Listen to make sure that someone will be able to hear you;Avant d'émettre sur une fréquence spécifique, que devriez-vous faire?;Écouter, pour vous assurer que la fréquence est libre;Vérifier votre antenne, pour vous assurer de la résonance à la fréquence choisie;Vous assurer que le ROS de votre ligne de transmission est assez élevé;Écouter, pour vous assurer que quelqu'un pourra vous entendre
B-002-004-002;If you contact another station and your signal is extremely strong and perfectly readable, what adjustment should you make to your transmitter?;Turn down your power output to the minimum necessary;Turn on your speech processor;Reduce your SWR;Continue with your contact, making no changes;Lors d'un contact avec une autre station, quel ajustement devriez-vous faire à votre émetteur si le signal est extrêmement fort et parfaitement lisible?;Diminuer la puissance de sortie au minimum requis;Mettre en fonction votre processeur de voix;Réduire votre ROS;Continuer à dialoguer avec l'autre station, sans rien modifier
B-002-004-003;What is one way to shorten transmitter tune-up time on the air to cut down on interference?;Tune the transmitter into a dummy load;Use a long wire antenna;Tune up on 40 metres first, then switch to the desired band;Use twin lead instead of coaxial cable transmission lines;Quelle est la façon de réduire la durée de syntonisation de l'émetteur sur l'air afin d'éviter de causer du brouillage?;Syntoniser votre émetteur au moyen d'une charge fictive;Utiliser une antenne long fil;Syntoniser sur la bande de 40 mètres au préalable, puis retourner sur la fréquence choisie;Utiliser une ligne symétrique au lieu du câble coaxial comme ligne de transmission
B-002-004-004;How can on-the-air interference be minimized during a lengthy transmitter testing or tuning procedure?;Use a dummy load;Choose an unoccupied frequency;Use a non-resonant antenna;Use a resonant antenna that requires no loading-up procedure;Comment est-il possible de diminuer le brouillage dû au rayonnement de signaux lors de tests d'émission un peu longs ou d'ajustement des appareils pour l'émission?;En employant une charge fictive;En choisissant une fréquence libre;En utilisant une antenne non résonante;En utilisant une antenne résonante qui ne requiert pas d'ajustement des appareils
B-002-004-005;Why would you use a dummy load?;To test or adjust your transceiver without causing interference;To give comparative signal reports;It is faster to tune;To reduce output power;Pourquoi devriez-vous utiliser une charge fictive?;Pour permettre la vérification ou l'ajustement de votre émetteur-récepteur sans causer de brouillage;Pour être en mesure de donner des rapports de signaux comparatifs;La syntonisation est plus rapide;Pour diminuer la puissance de sortie
B-002-004-006;If you are the net control station of a daily HF net, what should you do if the frequency on which you normally meet is in use just before the net begins?;Call and ask occupants to relinquish the frequency for the scheduled net operations, but if they are not agreeable, conduct the net on a frequency 3 to 5 kHz away from the regular net frequency;Reduce your output power and start the net as usual;Increase your power output so that net participants will be able to hear you over the existing activity;Cancel the net for that day;Si vous êtes le responsable (l'animateur) d'un réseau quotidien sur HF, que devriez-vous faire si la fréquence habituellement utilisée est occupée au moment où le réseau doit débuter?;Demander aux stations en ondes s'ils acceptent de libérer la fréquence et, le cas échéant, déplacer le réseau sur une fréquence située entre 3 et 5 kHz de la fréquence habituelle;Diminuer la puissance de votre émetteur et utiliser la fréquence habituelle;Augmenter la puissance de votre émetteur de sorte que les participants au réseau pourront vous entendre;Reporter le réseau au lendemain
B-002-004-007;If a net is about to begin on a frequency which you and another station are using, what should you do?;As a courtesy to the net, move to a different frequency;Increase your power output to ensure that all net participants can hear you;Transmit as long as possible on the frequency so that no other stations may use it;Turn off your radio;Si un réseau doit débuter sur une fréquence que vous utilisez avec un autre radioamateur, que devriez-vous faire?;Par courtoisie pour le réseau, changer de fréquence;Augmenter la puissance de votre émetteur pour que tous les participants au réseau puissent vous entendre;Continuer à émettre sur la fréquence le plus longtemps possible pour que personne d'autre ne puisse l'utiliser;Fermer votre appareil
B-002-004-008;If propagation changes during your contact and you notice increasing interference from other activity on the same frequency, what should you do?;Move your contact to another frequency;Tell the interfering stations to change frequency, since you were there first;Report the interference to your local Amateur Auxiliary Coordinator;Increase the output power of your transmitter to overcome the interference;Si la propagation change durant un contact de sorte que l'interférence venant d'autres stations augmente considérablement sur la fréquence que vous utilisez, que devriez-vous faire?;Changer de fréquence;Aviser les stations de changer de fréquence puisque vous étiez le premier utilisateur;Signaler ce brouillage à votre coordonnateur local;Augmenter la puissance de votre émetteur pour contrecarrer l'interférence
B-002-004-009;When selecting a single-sideband phone transmitting frequency, what minimum frequency separation from a contact in progress should you allow (between suppressed carriers) to minimize interference?;Approximately 3 kHz;150 to 500 Hz;Approximately 6 kHz;Approximately 10 kHz;Lorsque vous choisissez une fréquence pour émettre en phonie sur bande latérale unique, quel décalage minimal (séparation) de fréquence devriez-vous respecter pour éviter le plus possible de brouiller un contact en cours?;Approximativement 3 kHz;150 à 500 Hz;Approximativement 6 kHz;Approximativement 10 kHz
B-002-004-010;What is a band plan?;A guideline for using different operating modes within an amateur band;A plan of operating schedules within an amateur band published by Innovation, Science and Economic Development Canada;A plan devised by a club to best use a frequency band during a contest;A guideline for deviating from amateur frequency band allocations;Qu'est-ce qu'un plan de bande?;Un guide d'utilisation des fréquences, selon les différents modes, sur une bande de fréquences du service radioamateur;Le plan des opérations sur une bande du service radioamateur publié par Innovation, Sciences et Développement économique Canada;Un guide d'utilisation des fréquences proposé par un club de radioamateurs pour une période de concours;Un guide montrant les écarts aux attributions du service radioamateur
B-002-004-011;Before transmitting, the first thing you should do is:;listen carefully so as not to interrupt communications already in progress;ask if the frequency is occupied;make an announcement on the frequency indicating that you intend to make a call;decrease your receiver's volume;Avant d'émettre un signal radio, vous devriez premièrement :;écouter attentivement de façon à ne pas interrompre une communication déjà en cours;demander si la fréquence est occupée;annoncer sur la fréquence votre intention de faire un appel;baisser le volume de votre récepteur
B-002-005-001;What is the correct way to call "CQ" when using Morse code?;Send the letters "CQ" three times, followed by "DE", followed by your call sign sent three times;Send the letters "CQ" three times, followed by "DE", followed by your call sign sent once;Send the letters "CQ" ten times, followed by "DE", followed by your call sign sent once;Send the letters "CQ" over and over;Comment faut-il émettre le "CQ" lorsque vous utilisez le code Morse?;Émettre le "CQ" trois fois, suivi du "DE", puis votre indicatif trois fois;Émettre le "CQ" trois fois, suivi du "DE", puis votre indicatif une fois;Émettre le "CQ" dix fois, suivi du "DE", puis votre indicatif une fois;Émettre sans arrêt "CQ, CQ..."
B-002-005-002;How should you answer a routine Morse code "CQ" call?;Send the other station's call sign twice, followed by "DE", followed by your call sign twice;Send your call sign four times;Send the other station's call sign once, followed by "DE", followed by your call sign four times;Send your call sign followed by your name, station location and a signal report;Comment faut-il répondre à une station qui lance un "CQ" de routine en code Morse?;Émettre l'indicatif de la station qui appelle à deux reprises, suivi du "DE", puis votre indicatif deux fois;Émettre votre indicatif à quatre reprises;Émettre l'indicatif de la station qui appelle une seule fois, suivi du "DE", puis votre indicatif quatre fois;Émettre votre indicatif, suivi de votre nom, de votre position et d'un rapport de signal
B-002-005-003;At what speed should a Morse code "CQ" call be transmitted?;At any speed which you can reliably receive;At any speed below 5 w.p.m.;At the highest speed your keyer will operate;At the highest speed at which you can control the keyer;Quelle devrait être la vitesse d'un appel "CQ" en code Morse?;La vitesse à laquelle vous pouvez confortablement recevoir le code Morse;Une vitesse inférieure à 5 mots à la minute;La vitesse maximale de votre manipulateur électronique;La vitesse la plus élevée que vous maîtrisez sur votre manipulateur électronique
B-002-005-004;What is the meaning of the procedural signal "CQ"?;Calling any station;Call on the quarter hour;An antenna is being tested;Only the station "CQ" should answer;Quelle est la signification du "CQ" émis sur l'air?;Appel pour n'importe quelle station à l'écoute;Appel fait au quart d'heure;Essai de vérification d'antenne;Seule la station "CQ" est priée de répondre
B-002-005-005;What is the meaning of the procedural signal "DE"?;From;Received all correctly;Calling any station;Directional Emissions;Que signifie l'abréviation "DE"?;De;Tout a été bien reçu;Appel pour n'importe quelle station;Émissions directionnelles
B-002-005-006;What is the meaning of the procedural signal "K"?;Any station please reply;End of message;Called station only transmit;All received correctly;Que signifie l'abréviation "K"?;Invitation à répondre donnée à toute station;Fin du message;Seule la station appelée est invitée à répondre;Tout a été bien reçu
B-002-005-007;What is meant by the term "DX"?;Distant station;Calling any station;Go ahead;Best regards;Que signifie le terme "DX"?;Une station éloignée;Appel à toute station;Continuez;Amitiés
B-002-005-008;What is the meaning of the term "73"?;Best regards;Long distance;Love and kisses;Go ahead;Que signifie le terme "73" utilisé lors d'une communication?;Amitiés;Longue distance;Amitiés et baisers;Continuez
B-002-005-009;Which of the following describes full break-in telegraphy (QSK)?;Incoming signals are received between transmitted Morse code dots and dashes;Automatic keyers are used to send Morse code instead of hand keys;An operator must activate a manual send/receive switch before and after every transmission;Breaking stations send the Morse code prosign "BK";Quel énoncé décrit le mieux la télégraphie quasi duplex, dite "full break-in telegraphy" (QSK)?;Le signal entrant est entendu entre les points et les traits du code Morse émis;Des manipulateurs électroniques sont utilisés pour émettre le code Morse au lieu de clés manuelles;L'opérateur doit passer manuellement de la réception à l'émission à chaque transmission;Les stations qui veulent intervenir ("break-in") envoient le signal "BK"
B-002-005-010;When selecting a CW transmitting frequency, what minimum frequency separation from a contact in progress should you allow to minimize interference?;150 to 500 Hz;5 to 50 Hz;1 to 3 kHz;3 to 6 kHz;Lorsque vous choisissez une fréquence pour émettre en CW, quel décalage minimal (séparation) devriez-vous laisser entre votre fréquence d'émission et celles qui sont déjà occupées afin de ne pas causer de brouillage?;150 à 500 Hz;5 à 50 Hz;1 à 3 kHz;3 à 6 kHz
B-002-005-011;Good Morse telegraphy operators:;listen to the frequency to make sure that it is not in use before transmitting;always give stations a good readability report;save time by leaving out spaces between words;tune the transmitter using the operating antenna;Pour bien opérer en code Morse, il faut :;écouter la fréquence choisie pour s'assurer qu'elle est libre avant d'émettre;donner toujours à toutes les stations un bon rapport d'intelligibilité;économiser du temps en délaissant les espaces entre les mots;accorder l'émetteur à l'antenne utilisée
B-002-006-001;What are "RST" signal reports?;A short way to describe signal reception;A short way to describe transmitter power;A short way to describe sunspot activity;A short way to describe ionospheric conditions;Que signifie un rapport de signal "RST"?;Une façon brève de décrire la qualité de la réception;Une façon brève de décrire la puissance de l'émetteur;Une façon brève de décrire la condition des taches solaires;Une façon brève de décrire les conditions ionosphériques
B-002-006-002;What does "RST" mean in a signal report?;Readability, signal strength, tone;Recovery, signal strength, tempo;Recovery, signal speed, tone;Readability, signal speed, tempo;Quelles sont les trois composantes d'un rapport de signal "RST"?;Lisibilité, force du signal et tonalité;Récupération, force du signal et rythme;Récupération, vitesse du signal et tonalité;Lisibilité, vitesse du signal et rythme
B-002-006-003;What is the meaning of: "Your signal report is 5 7"?;Your signal is perfectly readable and moderately strong;Your signal is readable with considerable difficulty;Your signal is perfectly readable with near pure tone;Your signal is perfectly readable, but weak;Que signifie "Votre rapport de signal est 5 7"?;Votre signal est parfaitement lisible et il est modérément fort;Votre signal est lisible, mais avec beaucoup de difficulté;Votre signal est parfaitement lisible, et la tonalité est excellente;Votre signal est parfaitement lisible, mais il est faible
B-002-006-004;What is the meaning of: "Your signal report is 3 3 "?;Your signal is readable with considerable difficulty and weak in strength;Your signal is unreadable, very weak in strength;The station is located at latitude 33 degrees;The contact is serial number 33;Que signifie "Votre rapport de signal est 3 3"?;Votre signal est lisible avec difficulté et faible;Votre signal est incompréhensible et très faible;La station est localisée à la latitude de 33 degrés;Le numéro de série de ce contact est 33
B-002-006-005;What is the meaning of: "You are 5 9 plus 20 dB"?;You are perfectly readable with a signal strength 20 decibels greater than S 9;The bandwidth of your signal is 20 decibels above linearity;Repeat your transmission on a frequency 20 kHz higher;Your signal strength has increased by a factor of 100;Que signifie "Je vous reçois 5 9 plus 20 dB"?;Votre signal est excellent et la force de votre signal est de 20 dB au-dessus de S9;La largeur de bande de votre signal excède la linéarité de 20 dB;Reprenez votre transmission sur une fréquence plus élevée de 20 kHz;La force de votre signal vient d'augmenter de 100 fois
B-002-006-006;A distant station asks for a signal report on a local repeater you monitor. Which fact affects your assessment?;The other operator needs to know how well he is received at the repeater, not how well you receive the repeater;The repeater gain affects your S-meter reading;You need to listen to the repeater input frequency for an accurate signal report;Signal reports are only useful on simplex communications;Une station éloignée entendue sur un répéteur local désire obtenir un rapport de signal. Que devez-vous prendre en compte avant de formuler votre réponse?;Cet opérateur a besoin de savoir comment bien le répéteur le reçoit, et non comment bien vous recevez le répéteur;Le gain du répéteur affecte la lecture sur votre S-mètre;Vous devez écouter sur la fréquence d'entrée du répéteur avant de déterminer un rapport de signal utile;Ces rapports ne sont utiles qu'en mode simplex
B-002-006-007;If the power output of a transmitter is increased by four times, how might a nearby receiver's S-meter reading change?;Increase by approximately one S unit;Increase by approximately four S units;Decrease by approximately four S units;Decrease by approximately one S unit;Si la puissance de sortie d'un émetteur est quadruplée, quelle sera la différence de lecture au S-mètre d'une station réceptrice située à proximité?;Une augmentation d'environ une unité S;Une augmentation d'environ quatre unités S;Une baisse d'environ quatre unités S;Une baisse d'environ une unité S
B-002-006-008;By how many times must the power output of a transmitter be increased to raise the S-meter reading on a nearby receiver from S8 to S9?;Approximately 4 times;Approximately 5 times;Approximately 3 times;Approximately 2 times;Combien de fois doit-on augmenter la puissance d'un émetteur pour que la lecture au S-mètre d'un récepteur situé à proximité passe de S8 à S9?;Approximativement 4 fois;Approximativement 5 fois;Approximativement 3 fois;Approximativement 2 fois
B-002-006-009;What does "RST 579" mean in a Morse code contact?;Your signal is perfectly readable, moderately strong, and with perfect tone;Your signal is perfectly readable, weak strength, and with perfect tone;Your signal is fairly readable, fair strength, and with perfect tone;Your signal is barely readable, moderately strong, and with faint ripple;Que signifie "RST 579" dans un contact en code Morse?;Votre signal est parfaitement lisible, modérément fort, et avec une tonalité parfaite;Votre signal est parfaitement lisible, faible, et avec une tonalité parfaite;Votre signal est passablement lisible, passablement fort, et avec une tonalité parfaite;Votre signal est tout juste lisible, modérément fort, et avec une légère ondulation
B-002-006-010;What does "RST 459" mean in a Morse code contact?;Your signal is quite readable, fair strength, and with perfect tone;Your signal is very readable, very strong, and with perfect tone;Your signal is barely readable, very weak, and with perfect tone;Your signal is moderately readable, very weak, and with hum on the tone;Que signifie "RST 459" dans un contact en code Morse?;Votre signal est tout à fait lisible, passablement fort, et avec une tonalité parfaite;Votre signal et lisible, très fort, et avec une tonalité parfaite;Votre signal est tout juste lisible, très faible, et avec une tonalité parfaite;Votre signal est modérément lisible, très faible, et avec un ronflement dans la tonalité
